timestamp,event_type,step,operation,domain_mode,agent_strategy_pref,retrieval_mode,query_artifact_id,retrieved_artifact_id,artifact_id,creator_id,accepted_by,relation_type,relevance_score,is_new_artifact,domain_size,retrieval_rank,retrieval_pool_size,retrieval_bucket,retrieval_estimated_novelty,retrieval_fallback_random,root_creator_id,lineage_depth,generation_step,entered_domain_step,views,shares,domain_entry_count,nearest_domain_artifact_id,nearest_domain_similarity,domain_source,domain_parent_id
2026-04-22T13:38:06.779810,domain_event,0,add,flat,,flat,,0,0,0,19,accepted_into_domain,,True,1,,,,,,0,0,0,0,0,0,1,,,generation,
2026-04-22T13:38:06.780692,domain_event,0,add,flat,,flat,,0,0,0,3,accepted_into_domain,,False,1,,,,,,0,0,0,0,1,1,2,,,generation,
2026-04-22T13:38:06.781416,domain_event,0,add,flat,,flat,,0,0,0,18,accepted_into_domain,,False,1,,,,,,0,0,0,0,2,2,3,,,generation,
2026-04-22T13:38:06.787440,domain_event,0,add,flat,,flat,,1,1,1,16,accepted_into_domain,,True,2,,,,,,1,0,0,0,0,0,1,0,0.9463279247283936,generation,
2026-04-22T13:38:06.788717,domain_event,0,add,flat,,flat,,1,1,1,3,accepted_into_domain,,False,2,,,,,,1,0,0,0,1,1,2,0,0.9463279247283936,generation,
2026-04-22T13:38:06.789871,domain_event,0,add,flat,,flat,,1,1,1,5,accepted_into_domain,,False,2,,,,,,1,0,0,0,2,2,3,0,0.9463279247283936,generation,
2026-04-22T13:38:06.791444,domain_event,0,add,flat,,flat,,2,2,2,5,accepted_into_domain,,True,3,,,,,,2,0,0,0,0,0,1,0,0.9701746702194214,generation,
2026-04-22T13:38:06.793037,domain_event,0,add,flat,,flat,,2,2,2,16,accepted_into_domain,,False,3,,,,,,2,0,0,0,1,1,2,0,0.9701746702194214,generation,
2026-04-22T13:38:06.797335,domain_event,0,add,flat,,flat,,2,2,2,6,accepted_into_domain,,False,3,,,,,,2,0,0,0,2,2,3,0,0.9701746702194214,generation,
2026-04-22T13:38:06.847465,domain_event,0,add,flat,,flat,,3,3,3,9,accepted_into_domain,,True,4,,,,,,3,0,0,0,0,0,1,2,0.8931632041931152,generation,
2026-04-22T13:38:06.914004,domain_event,0,add,flat,,flat,,3,3,3,17,accepted_into_domain,,False,4,,,,,,3,0,0,0,1,1,2,2,0.8931632041931152,generation,
2026-04-22T13:38:06.970351,domain_event,0,add,flat,,flat,,3,3,3,14,accepted_into_domain,,False,4,,,,,,3,0,0,0,2,2,3,2,0.8931632041931152,generation,
2026-04-22T13:38:06.973933,domain_event,0,add,flat,,flat,,4,4,4,7,accepted_into_domain,,True,5,,,,,,4,0,0,0,0,0,1,2,0.9598051309585571,generation,
2026-04-22T13:38:06.976418,domain_event,0,add,flat,,flat,,4,4,4,18,accepted_into_domain,,False,5,,,,,,4,0,0,0,1,1,2,2,0.9598051309585571,generation,
2026-04-22T13:38:06.978762,domain_event,0,add,flat,,flat,,4,4,4,19,accepted_into_domain,,False,5,,,,,,4,0,0,0,2,2,3,2,0.9598051309585571,generation,
2026-04-22T13:38:06.981584,domain_event,0,add,flat,,flat,,5,5,5,10,accepted_into_domain,,True,6,,,,,,5,0,0,0,0,0,1,2,0.9920415878295898,generation,
2026-04-22T13:38:06.984272,domain_event,0,add,flat,,flat,,5,5,5,13,accepted_into_domain,,False,6,,,,,,5,0,0,0,1,1,2,2,0.9920415878295898,generation,
2026-04-22T13:38:06.986991,domain_event,0,add,flat,,flat,,5,5,5,12,accepted_into_domain,,False,6,,,,,,5,0,0,0,2,2,3,2,0.9920415878295898,generation,
